Date,OILPRODUS,GDPUS,IPUS,RPRCUS,CPIUS,RGFCFUS,CAUS,Y10YDUS
2002-01-01,5848.0,10788952.0,88.46,9549516.0,177.7,2189057.0,-404443.0,5.04
2002-02-01,5871.0,10823703.666666666,88.46,9565617.333333334,178.0,2188256.6666666665,-421766.6666666667,4.91
2002-03-01,5883.0,10858455.333333334,89.13,9581718.666666666,178.5,2187456.3333333335,-439090.3333333333,5.28
2002-04-01,5859.0,10893207.0,89.55,9597820.0,179.3,2186656.0,-456414.0,5.21
2002-05-01,5924.0,10926155.0,89.93,9620209.333333334,179.5,2185591.0,-458175.0,5.16
2002-06-01,5915.0,10959103.0,90.67,9642598.666666666,179.6,2184526.0,-459936.0,4.93
2002-07-01,5770.0,10992051.0,90.64,9664988.0,180.0,2183461.0,-461697.0,4.65
2002-08-01,5811.0,11018521.666666666,90.55,9682907.0,180.5,2180406.0,-474201.3333333333,4.26
2002-09-01,5411.0,11044992.333333334,90.64,9700826.0,180.8,2177351.0,-486705.6666666667,3.87
2002-10-01,5363.0,11071463.0,90.4,9718745.0,181.2,2174296.0,-499210.0,3.94
2002-11-01,5597.0,11108811.0,90.89,9734702.0,181.5,2180874.0,-514935.6666666667,4.05
2002-12-01,5699.0,11146159.0,90.39,9750659.0,181.8,2187452.0,-530661.3333333334,4.03
2003-01-01,5785.0,11183507.0,91.14,9766616.0,182.6,2194030.0,-546387.0,4.05
2003-02-01,5791.0,11226629.666666666,91.25,9803891.333333334,183.6,2211611.6666666665,-539604.0,3.9
2003-03-01,5817.0,11269752.333333334,91.0,9841166.666666666,183.9,2229193.3333333335,-532821.0,3.81
2003-04-01,5774.0,11312875.0,90.43,9878442.0,183.2,2246775.0,-526038.0,3.96
2003-05-01,5733.0,11397692.0,90.4,9925002.0,182.9,2271092.0,-526242.3333333334,3.57
2003-06-01,5701.0,11482509.0,90.52,9971562.0,183.1,2295409.0,-526446.6666666666,3.33
2003-07-01,5526.0,11567326.0,90.99,10018122.0,183.7,2319726.0,-526651.0,3.98
2003-08-01,5595.0,11634642.333333334,90.79,10041112.0,184.5,2333772.3333333335,-521588.3333333333,4.45
2003-09-01,5683.0,11701958.666666666,91.38,10064102.0,185.1,2347818.6666666665,-516525.6666666667,4.27
2003-10-01,5635.0,11769275.0,91.5,10087092.0,184.9,2361865.0,-511463.0,4.29
2003-11-01,5560.0,11819573.0,92.13,10118441.666666666,185.0,2359715.3333333335,-523955.0,4.3
2003-12-01,5579.0,11869871.0,92.17,10149791.333333334,185.5,2357565.6666666665,-536447.0,4.27
2004-01-01,5570.0,11920169.0,92.33,10181141.0,186.3,2355416.0,-548939.0,4.15
2004-02-01,5556.0,11983108.333333334,92.9,10199658.666666666,186.7,2376865.0,-574128.6666666666,4.08
2004-03-01,5607.0,12046047.666666666,92.54,10218176.333333334,187.1,2398314.0,-599318.3333333334,3.83
2004-04-01,5526.0,12108987.0,92.9,10236694.0,187.4,2419763.0,-624508.0,4.35
2004-05-01,5548.0,12173771.333333334,93.58,10276774.666666666,188.2,2436919.3333333335,-632771.6666666666,4.72
2004-06-01,5398.0,12238555.666666666,92.87,10316855.333333334,188.9,2454075.6666666665,-641035.3333333334,4.73
2004-07-01,5458.0,12303340.0,93.55,10356936.0,189.1,2471232.0,-649299.0,4.5
2004-08-01,5333.0,12376368.333333334,93.63,10395985.333333334,189.2,2486241.6666666665,-675640.0,4.28
2004-09-01,5062.0,12449396.666666666,93.74,10435034.666666666,189.8,2501251.3333333335,-701981.0,4.13
2004-10-01,5156.0,12522425.0,94.57,10474084.0,190.8,2516261.0,-728322.0,4.1
2004-11-01,5396.0,12602062.333333334,94.8,10496268.666666666,191.7,2530969.0,-715130.3333333334,4.19
2004-12-01,5413.0,12681699.666666666,95.54,10518453.333333334,191.7,2545677.0,-701938.6666666666,4.23
2005-01-01,5446.0,12761337.0,95.88,10540638.0,191.6,2560385.0,-688747.0,4.22
2005-02-01,5501.0,12810898.666666666,96.57,10579575.0,192.4,2574855.0,-699891.6666666666,4.17
2005-03-01,5601.0,12860460.333333334,96.43,10618512.0,193.1,2589325.0,-711036.3333333334,4.5
2005-04-01,5563.0,12910022.0,96.63,10657449.0,193.7,2603795.0,-722181.0,4.34
2005-05-01,5596.0,12987639.0,96.73,10686923.666666666,193.6,2618973.3333333335,-733013.0,4.14
2005-06-01,5442.0,13065256.0,97.15,10716398.333333334,193.7,2634151.6666666665,-743845.0,4.0
2005-07-01,5253.0,13142873.0,96.84,10745873.0,194.9,2649330.0,-754677.0,4.18
2005-08-01,5198.0,13206020.666666666,97.16,10752475.333333334,196.1,2653293.6666666665,-782818.3333333334,4.26
2005-09-01,4214.0,13269168.333333334,95.28,10759077.666666666,198.8,2657257.3333333335,-810959.6666666666,4.2
2005-10-01,4555.0,13332316.0,96.44,10765680.0,199.1,2661221.0,-839101.0,4.46
2005-11-01,4857.0,13422855.0,97.5,10804811.666666666,198.1,2677885.3333333335,-826652.3333333334,4.54
2005-12-01,4988.0,13513394.0,97.97,10843943.333333334,198.1,2694549.6666666665,-814203.6666666666,4.47
2006-01-01,5048.0,13603933.0,98.13,10883075.0,199.3,2711214.0,-801755.0,4.42
2006-02-01,5032.0,13652557.333333334,98.17,10901882.666666666,199.4,2706338.6666666665,-810760.0,4.57
2006-03-01,5027.0,13701181.666666666,98.39,10920690.333333334,199.7,2701463.3333333335,-819765.0,4.72
2006-04-01,5082.0,13749806.0,98.68,10939498.0,200.7,2696588.0,-828770.0,4.99
2006-05-01,5151.0,13789027.0,98.71,10962914.666666666,201.3,2690815.6666666665,-844451.0,5.11
2006-06-01,5163.0,13828248.0,99.04,10986331.333333334,201.8,2685043.3333333335,-860132.0,5.11
2006-07-01,5094.0,13867469.0,98.98,11009748.0,202.9,2679271.0,-875813.0,5.09
2006-08-01,5040.0,13924055.333333334,99.4,11044755.666666666,203.8,2672936.3333333335,-840838.0,4.88
2006-09-01,5031.0,13980641.666666666,99.22,11079763.333333334,202.8,2666601.6666666665,-805863.0,4.72
2006-10-01,5108.0,14037228.0,99.12,11114771.0,201.9,2660267.0,-770888.0,4.73
2006-11-01,5064.0,14094341.666666666,99.1,11137621.666666666,202.0,2702503.6666666665,-782441.0,4.6
2006-12-01,5186.0,14151455.333333334,100.11,11160472.333333334,203.1,2744740.3333333335,-793994.0,4.56
2007-01-01,5108.0,14208569.0,99.75,11183323.0,203.44,2786977.0,-805547.0,4.76
2007-02-01,5118.0,14266500.333333334,100.72,11193105.0,204.23,2791352.3333333335,-796591.0,4.72
2007-03-01,5119.0,14324431.666666666,100.9,11202887.0,205.29,2795727.6666666665,-787635.0,4.56
2007-04-01,5180.0,14382363.0,101.57,11212669.0,205.9,2800103.0,-778679.0,4.69
2007-05-01,5211.0,14433243.0,101.63,11237602.0,206.76,2794774.3333333335,-755438.3333333334,4.75
2007-06-01,5075.0,14484123.0,101.65,11262535.0,207.23,2789445.6666666665,-732197.6666666666,5.1
2007-07-01,5038.0,14535003.0,101.5,11287468.0,207.6,2784117.0,-708957.0,5.0
2007-08-01,4970.0,14583835.666666666,101.69,11302295.0,207.67,2775215.3333333335,-696057.0,4.67
2007-09-01,4902.0,14632668.333333334,101.94,11317122.0,208.55,2766313.6666666665,-683157.0,4.52
2007-10-01,5022.0,14681501.0,101.64,11331949.0,209.19,2757412.0,-670257.0,4.53
2007-11-01,5034.0,14671347.0,102.22,11326769.666666666,210.83,2743166.3333333335,-692022.0,4.15
2007-12-01,5111.0,14661193.0,102.28,11321590.333333334,211.45,2728920.6666666665,-713787.0,4.1
2008-01-01,5115.0,14651039.0,102.15,11316411.0,212.17,2714675.0,-735552.0,3.74
2008-02-01,5148.0,14702563.0,101.78,11326805.666666666,212.69,2707264.3333333335,-734126.6666666666,3.74
2008-03-01,5189.0,14754087.0,101.45,11337200.333333334,213.45,2699853.6666666665,-732701.3333333334,3.51
2008-04-01,5180.0,14805611.0,100.76,11347595.0,213.94,2692443.0,-731276.0,3.68
2008-05-01,5143.0,14815469.666666666,100.13,11318442.0,215.21,2669752.6666666665,-727192.3333333334,3.88
2008-06-01,5138.0,14825328.333333334,99.87,11289289.0,217.46,2647062.3333333335,-723108.6666666666,4.1
2008-07-01,5177.0,14835187.0,99.42,11260136.0,219.02,2624372.0,-719025.0,4.01
2008-08-01,5003.0,14743305.666666666,97.85,11226357.666666666,218.69,2566612.3333333335,-689709.6666666666,3.89
2008-09-01,3974.0,14651424.333333334,93.56,11192579.333333334,218.88,2508852.6666666665,-660394.3333333334,3.69
2008-10-01,4738.0,14559543.0,94.5,11158801.0,216.99,2451093.0,-631079.0,3.81
