Date,OILPRODUS,GDPUS,IPUS,RPRCUS,CPIUS,PPIUS,RGFCFUS,CAUS,Y10YDUS
1940-01-01,,,8.521,,,,,,
1940-02-01,,,8.252,,,,,,
1940-03-01,,,8.064,,,,,,
1940-04-01,,,8.226,,,,,,
1940-05-01,,,8.467,,,,,,
1940-06-01,,,8.736,,,,,,
1940-07-01,,,8.844,,,,,,
1940-08-01,,,8.898,,,,,,
1940-09-01,,,9.086,,,,,,
1940-10-01,,,9.22,,,,,,
1940-11-01,,,9.435,,,,,,
1940-12-01,,,9.758,,,,,,
1941-01-01,,,10.0,,,,,,
1941-02-01,,,10.295,,,,,,
1941-03-01,,,10.618,,,,,,
1941-04-01,,,10.645,,,,,,
1941-05-01,,,11.129,,,,,,
1941-06-01,,,11.209,,,,,,
1941-07-01,,,11.344,,,,,,
1941-08-01,,,11.478,,,,,,
1941-09-01,,,11.478,,,,,,
1941-10-01,,,11.586,,,,,,
1941-11-01,,,11.639,,,,,,
1941-12-01,,,11.828,,,,,,
1942-01-01,,,12.069,,,,,,
1942-02-01,,,12.285,,,,,,
1942-03-01,,,12.419,,,,,,
1942-04-01,,,12.069,,,,,,
1942-05-01,,,12.096,,,,,,
1942-06-01,,,12.123,,,,,,
1942-07-01,,,12.419,,,,,,
1942-08-01,,,12.795,,,,,,
1942-09-01,,,13.091,,,,,,
1942-10-01,,,13.521,,,,,,
1942-11-01,,,13.844,,,,,,
1942-12-01,,,14.166,,,,,,
1943-01-01,,,14.301,,,,,,
1943-02-01,,,14.677,,,,,,
1943-03-01,,,14.784,,,,,,
1943-04-01,,,14.973,,,,,,
1943-05-01,,,15.08,,,,,,
1943-06-01,,,15.0,,,,,,
1943-07-01,,,15.456,,,,,,
1943-08-01,,,15.779,,,,,,
1943-09-01,,,16.182,,,,,,
1943-10-01,,,16.424,,,,,,
1943-11-01,,,16.639,,,,,,
1943-12-01,,,16.424,,,,,,
1944-01-01,,,16.612,,,,,,
1944-02-01,,,16.747,,,,,,
1944-03-01,,,16.72,,,,,,
1944-04-01,,,16.72,,,,,,
1944-05-01,,,16.612,,,,,,
1944-06-01,,,16.559,,,,,,
1944-07-01,,,16.532,,,,,,
1944-08-01,,,16.747,,,,,,
1944-09-01,,,16.639,,,,,,
1944-10-01,,,16.693,,,,,,
1944-11-01,,,16.559,,,,,,
1944-12-01,,,16.505,,,,,,
1945-01-01,,,16.344,,,,,,
1945-02-01,,,16.29,,,,,,
1945-03-01,,,16.182,,,,,,
1945-04-01,,,15.887,,,,,,
1945-05-01,,,15.456,,,,,,
1945-06-01,,,15.107,,,,,,
1945-07-01,,,14.758,,,,,,
1945-08-01,,,13.225,,,,,,
1945-09-01,,,12.043,,,,,,
1945-10-01,,,11.559,,,,,,
1945-11-01,,,11.989,,,,,,
1945-12-01,,,12.043,,,,,,
1946-01-01,,,11.371,,,,,,
1946-02-01,,,10.806,,,,,,
1946-03-01,,,11.935,,,,,,
1946-04-01,,,11.72,,,,,,
1946-05-01,,,11.29,,,,,,
1946-06-01,,,11.989,,,,,,
1946-07-01,,,12.392,,,,,,
1946-08-01,,,12.849,,,,,,
1946-09-01,,,13.091,,,,,,
1946-10-01,,,13.333,,,,,,
1946-11-01,,,13.413,,,,,,
1946-12-01,,,13.494,,,,,,
1947-01-01,,243164.0,13.655,1351397.0,21.48,,295834.0,9405.0,
1947-02-01,,,13.736,,21.62,,,,
1947-03-01,,,13.817,,22.0,,,,
1947-04-01,,245968.0,13.709,1373880.0,22.0,,294857.0,9873.0,
1947-05-01,,,13.763,,21.95,,,,
1947-06-01,,,13.763,,22.08,,,,
1947-07-01,,249585.0,13.682,1378358.0,22.23,,306883.0,10081.0,
1947-08-01,,,13.763,,22.4,,,,
1947-09-01,,,13.87,,22.84,,,,
1947-10-01,,259745.0,14.005,1378796.0,22.91,,330900.0,7797.0,
1947-11-01,,,14.193,,23.06,,,,
1947-12-01,,,14.247,,23.41,,,,
1948-01-01,,265742.0,14.327,1385667.0,23.68,,342296.0,4916.0,
1948-02-01,,,14.354,,23.67,,,,
1948-03-01,,,14.193,,23.5,,,,
1948-04-01,,272567.0,14.22,1401789.0,23.82,,346248.0,3024.0,
1948-05-01,,,14.462,,24.01,,,,
1948-06-01,,,14.65,,24.15,,,,
1948-07-01,,279196.0,14.65,1403859.0,24.4,,346751.0,932.0,
1948-08-01,,,14.596,,24.43,,,,
1948-09-01,,,14.489,,24.36,,,,
1948-10-01,,280366.0,14.596,1415063.0,24.31,,345476.0,796.0,
1948-11-01,,,14.408,,24.16,,,,
1948-12-01,,,14.274,,24.05,,,,
1949-01-01,,275034.0,14.139,1417353.0,24.01,,327518.0,2192.0,
1949-02-01,,,14.005,,23.91,,,,
1949-03-01,,,13.736,,23.91,,,,
1949-04-01,,271351.0,13.655,1439077.0,23.92,,320283.0,1708.0,
1949-05-01,,,13.467,,23.91,,,,
1949-06-01,,,13.44,,23.92,,,,
1949-07-01,,272889.0,13.413,1442341.0,23.7,,317623.0,648.0,
1949-08-01,,,13.548,,23.7,,,,
1949-09-01,,,13.682,,23.75,,,,
1949-10-01,,270627.0,13.172,1463488.0,23.67,,327780.0,-1032.0,
1949-11-01,,,13.521,,23.7,,,,
1949-12-01,,,13.763,,23.61,,,,
1950-01-01,,280828.0,14.005,1487854.0,23.51,,348203.0,-957.0,
1950-02-01,,,14.059,,23.61,,,,
1950-03-01,,,14.516,,23.64,,,,
1950-04-01,,290383.0,15.0,1512357.0,23.65,,383738.0,-1245.0,
1950-05-01,,,15.349,,23.77,,,,
1950-06-01,,,15.806,,23.88,,,,
1950-07-01,,308153.0,16.317,1590019.0,24.07,,413607.0,-2681.0,
1950-08-01,,,16.827,,24.2,,,,
1950-09-01,,,16.72,,24.34,,,,
1950-10-01,,319945.0,16.827,1542087.0,24.5,,405484.0,-2489.0,
1950-11-01,,,16.801,,24.6,,,,
1950-12-01,,,17.096,,24.98,,,,
1951-01-01,,336000.0,17.15,1579375.0,25.38,,389907.0,-1710.0,
1951-02-01,,,17.257,,25.83,,,,
1951-03-01,,,17.338,,25.88,,,,
1951-04-01,,344090.0,17.365,1534744.0,25.92,,375866.0,350.0,
1951-05-01,,,17.311,,25.99,,,,
1951-06-01,,,17.231,,25.93,,,,
1951-07-01,,351385.0,16.962,1552624.0,25.91,,373148.0,2190.0,
